#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","CSV383","SAMN07664849","PRJNA407834","GCA_002447395.1","Complete",4.41111,65.6,"chromosome:NZ_CP023599.1/CP023599.1",,1,3990,"2017-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/447/395/GCA_002447395.1_ASM244739v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/447/395/GCF_002447395.1_ASM244739v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","HN-205","SAMD00076256","PRJDB5607","GCA_002357935.1","Complete",4.41103,65.6,"chromosome:NZ_AP018034.1/AP018034.1",,1,4112,"2017-05-10T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/935/GCA_002357935.1_ASM235793v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/935/GCF_002357935.1_ASM235793v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","96121","SAMN02874015","PRJNA253748","GCA_000756545.1","Complete",4.41094,65.6,"chromosome:NZ_CP009427.1/CP009427.1",,1,4091,"2014-09-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/545/GCA_000756545.1_ASM75654v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/545/GCF_000756545.1_ASM75654v1"
"Mycobacterium tuberculosis H37RvSiena","Bacteria;Terrabacteria group;Actinobacteria","H37RvSiena","SAMN03287041","PRJNA232612","GCA_000827085.1","Complete",4.41091,65.6,"chromosome:NZ_CP007027.1/CP007027.1",,1,4145,"2015-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/085/GCA_000827085.1_ASM82708v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/085/GCF_000827085.1_ASM82708v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","KIT87190","SAMN02767600","PRJNA246436","GCA_000706665.1","Complete",4.41079,65.6,"chromosome:NZ_CP007809.1/CP007809.1",,1,4073,"2014-06-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/706/665/GCA_000706665.1_ASM70666v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/706/665/GCF_000706665.1_ASM70666v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","DKC2","SAMEA104027311","PRJEB20214","GCA_900520315.1","Complete",4.40954,65.6,"chromosome 1:NZ_LR027516.1/LR027516.1",,1,4142,"2018-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/520/315/GCA_900520315.1_Mtb_DKC2.180803","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/520/315/GCF_900520315.1_Mtb_DKC2.180803"
"Mycobacterium tuberculosis str. Haarlem","Bacteria;Terrabacteria group;Actinobacteria","Haarlem","SAMN03081423","PRJNA17353","GCA_000153685.2","Complete",4.40822,65.6,"chromosome:NC_022350.1/CP001664.1",,1,4116,"2013-09-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/685/GCA_000153685.2_ASM15368v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/685/GCF_000153685.2_ASM15368v2"
"Mycobacterium tuberculosis HKBS1","Bacteria;Terrabacteria group;Actinobacteria","HKBS1","SAMN03081429","PRJNA66061","GCA_000572125.1","Complete",4.40793,65.6,"chromosome:NZ_CP002871.1/CP002871.1",,1,4117,"2014-02-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/125/GCA_000572125.1_ASM57212v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/125/GCF_000572125.1_ASM57212v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing/391","SAMN05833364","PRJNA269967","GCA_002116815.1","Complete",4.40693,65.6,"chromosome:NZ_CP017596.1/CP017596.1",,1,3893,"2017-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/815/GCA_002116815.1_ASM211681v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/815/GCF_002116815.1_ASM211681v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","SCAID 320.0","SAMN05447655","PRJNA335538","GCA_001702435.1","Complete",4.40663,65.6,"chromosome:NZ_CP016794.1/CP016794.1",,1,3966,"2016-08-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/702/435/GCA_001702435.1_ASM170243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/702/435/GCF_001702435.1_ASM170243v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","H112","SAMN06292067","PRJNA369711","GCA_003287185.1","Complete",4.40635,65.6,"chromosome:NZ_CP019613.1/CP019613.1",,1,4110,"2018-07-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/287/185/GCA_003287185.1_ASM328718v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/185/GCF_003287185.1_ASM328718v1"
"Mycobacterium tuberculosis CCDC5180","Bacteria;Terrabacteria group;Actinobacteria","CCDC5180","SAMN02603011","PRJNA19583","GCA_000270365.1","Complete",4.40598,65.6,"chromosome:NC_017522.1/CP001642.1",,1,4073,"2011-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/365/GCA_000270365.1_ASM27036v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/365/GCF_000270365.1_ASM27036v1"
"Mycobacterium tuberculosis CDC1551","Bacteria;Terrabacteria group;Actinobacteria","CDC1551","SAMN02603992","PRJNA223","GCA_000008585.1","Complete",4.40384,65.6,"chromosome:NC_002755.2/AE000516.2",,1,4064,"2001-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/585/GCA_000008585.1_ASM858v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/585/GCF_000008585.1_ASM858v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","1458","SAMN04293604","PRJNA304069","GCA_001855255.1","Complete",4.40203,65.6,"chromosome:NZ_CP013475.1/CP013475.1",,1,3971,"2016-10-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/855/255/GCA_001855255.1_ASM185525v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/855/255/GCF_001855255.1_ASM185525v1"
"Mycobacterium tuberculosis BT2","Bacteria;Terrabacteria group;Actinobacteria","BT2","SAMN03081430","PRJNA66063","GCA_000572155.1","Complete",4.4019,65.6,"chromosome:NZ_CP002882.1/CP002882.1",,1,4106,"2014-02-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/155/GCA_000572155.1_ASM57215v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/155/GCF_000572155.1_ASM57215v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","22115","SAMN03257094","PRJNA270004","GCA_001544955.1","Complete",4.40183,65.6,"chromosome:NZ_CP010337.1/CP010337.1",,1,4013,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/955/GCA_001544955.1_ASM154495v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/955/GCF_001544955.1_ASM154495v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","HN-024","SAMD00076259","PRJDB5608","GCA_002356255.1","Complete",4.39992,65.6,"chromosome:NZ_AP018033.1/AP018033.1",,1,4072,"2017-04-25T23:03:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/255/GCA_002356255.1_ASM235625v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/255/GCF_002356255.1_ASM235625v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","22103","SAMN03257096","PRJNA270004","GCA_001545015.1","Complete",4.39942,65.6,"chromosome:NZ_CP010339.1/CP010339.1",,1,4013,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/545/015/GCA_001545015.1_ASM154501v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/545/015/GCF_001545015.1_ASM154501v1"
"Mycobacterium tuberculosis BT1","Bacteria;Terrabacteria group;Actinobacteria","BT1","SAMN03081431","PRJNA66065","GCA_000572175.1","Complete",4.3994,65.6,"chromosome:NZ_CP002883.1/CP002883.1",,1,4097,"2014-02-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/572/175/GCA_000572175.1_ASM57217v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/572/175/GCF_000572175.1_ASM57217v1"
"Mycobacterium tuberculosis KZN 605","Bacteria;Terrabacteria group;Actinobacteria","KZN 605","SAMN00103288","PRJNA21057","GCA_000154605.2","Complete",4.39912,65.6,"chromosome:NC_018078.1/CP001976.1",,1,3977,"2012-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/605/GCA_000154605.2_ASM15460v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/605/GCF_000154605.2_ASM15460v2"
"Mycobacterium tuberculosis CTRI-2","Bacteria;Terrabacteria group;Actinobacteria","CTRI-2","SAMN02603755","PRJNA43171","GCA_000224435.1","Complete",4.39853,65.6,"chromosome:NC_017524.1/CP002992.1",,1,4120,"2011-08-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/435/GCA_000224435.1_ASM22443v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/435/GCF_000224435.1_ASM22443v1"
"Mycobacterium tuberculosis KZN 1435","Bacteria;Terrabacteria group;Actinobacteria","KZN 1435","SAMN00763683","PRJNA21055","GCA_000023625.1","Complete",4.39825,65.6,"chromosome:NC_012943.1/CP001658.1",,1,3975,"2009-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/625/GCA_000023625.1_ASM2362v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/625/GCF_000023625.1_ASM2362v1"
"Mycobacterium tuberculosis KZN 4207","Bacteria;Terrabacteria group;Actinobacteria","KZN 4207","SAMN03081422","PRJNA21053","GCA_000154585.2","Complete",4.39499,65.6,"chromosome:NC_016768.1/CP001662.1",,1,3991,"2011-04-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/585/GCA_000154585.2_ASM15458v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/585/GCF_000154585.2_ASM15458v2"
"Mycobacterium tuberculosis str. Erdman = ATCC 35801","Bacteria;Terrabacteria group;Actinobacteria","Erdman (ATCC35801)","SAMD00061050","PRJDB66","GCA_000350205.1","Complete",4.39235,65.6,"chromosome 1:NC_020559.1/AP012340.1",,1,4095,"2012-03-01T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/205/GCA_000350205.1_ASM35020v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/205/GCF_000350205.1_ASM35020v1"
"Mycobacterium tuberculosis EAI5","Bacteria;Terrabacteria group;Actinobacteria","EAI5","SAMN02603180","PRJNA210717","GCA_000422125.1","Complete",4.39117,65.6,"chromosome:NC_021740.1/CP006578.1",,1,4097,"2013-07-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/422/125/GCA_000422125.1_ASM42212v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/125/GCF_000422125.1_ASM42212v1"
"Mycobacterium tuberculosis EAI5/NITR206","Bacteria;Terrabacteria group;Actinobacteria","EAI5/NITR206","SAMN02603653","PRJNA193387","GCA_000389945.1","Complete",4.39031,65.6,"chromosome:NC_021194.1/CP005387.1",,1,3944,"2013-05-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/945/GCA_000389945.1_ASM38994v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/389/945/GCF_000389945.1_ASM38994v1"
"Mycobacterium tuberculosis variant africanum GM041182","Bacteria;Terrabacteria group;Actinobacteria","GM041182","SAMEA2272165","PRJEA68095","GCA_000253355.1","Complete",4.38931,65.6,"chromosome:NC_015758.1/FR878060.1",,1,3929,"2011-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/355/GCA_000253355.1_ASM25335v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/355/GCF_000253355.1_ASM25335v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","M0002959-6","SAMN06010343","PRJNA343736","GCA_001895865.1","Complete",4.38645,65.6,"chromosome:NZ_CP018304.1/CP018304.1",,1,3987,"2016-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/865/GCA_001895865.1_ASM189586v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/865/GCF_001895865.1_ASM189586v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","I0004241-1","SAMN06010135","PRJNA343736","GCA_001895765.1","Complete",4.38613,65.6,"chromosome:NZ_CP018303.1/CP018303.1",,1,3992,"2016-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/765/GCA_001895765.1_ASM189576v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/765/GCF_001895765.1_ASM189576v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","I0002353-6","SAMN06010490","PRJNA343736","GCA_001895845.1","Complete",4.38558,65.6,"chromosome:NZ_CP018300.1/CP018300.1",,1,3983,"2016-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/845/GCA_001895845.1_ASM189584v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/845/GCF_001895845.1_ASM189584v1"
"Mycobacterium tuberculosis K","Bacteria;Terrabacteria group;Actinobacteria","K","SAMN02803802","PRJNA178919","GCA_000698475.1","Complete",4.38552,65.6,"chromosome:NZ_CP007803.1/CP007803.1",,1,4093,"2014-06-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/475/GCA_000698475.1_ASM69847v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/475/GCF_000698475.1_ASM69847v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","NCGM946K2","SAMD00065354","PRJDB5220","GCA_002356015.1","Complete",4.3806,65.6,"chromosome:NZ_AP017901.1/AP017901.1",,1,3974,"2016-12-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/015/GCA_002356015.1_ASM235601v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/015/GCF_002356015.1_ASM235601v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing-like/1104","SAMN05833359","PRJNA269967","GCA_002116855.1","Complete",4.38016,65.6,"chromosome:NZ_CP017598.1/CP017598.1",,1,3957,"2017-05-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/116/855/GCA_002116855.1_ASM211685v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/855/GCF_002116855.1_ASM211685v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","96075","SAMN02887314","PRJNA253748","GCA_000756525.1","Complete",4.37938,65.6,"chromosome:NZ_CP009426.1/CP009426.1",,1,4083,"2014-09-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/756/525/GCA_000756525.1_ASM75652v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/525/GCF_000756525.1_ASM75652v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing","SAMN03301665","PRJNA273899","GCA_001750865.1","Complete",4.37859,65.6,"chromosome:NZ_CP011510.1/CP011510.1",,1,3941,"2016-10-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/865/GCA_001750865.1_ASM175086v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/750/865/GCF_001750865.1_ASM175086v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","I0002801-4","SAMN06010171","PRJNA343736","GCA_001895825.1","Complete",4.37607,65.6,"chromosome:NZ_CP018301.1/CP018301.1",,1,3989,"2016-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/825/GCA_001895825.1_ASM189582v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/825/GCF_001895825.1_ASM189582v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","I0004000-1","SAMN06010122","PRJNA343736","GCA_001895805.1","Complete",4.36572,65.6,"chromosome:NZ_CP018302.1/CP018302.1",,1,3977,"2016-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/805/GCA_001895805.1_ASM189580v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/805/GCF_001895805.1_ASM189580v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","M0018684-2","SAMN06010493","PRJNA343736","GCA_001895785.1","Complete",4.35982,65.6,"chromosome:NZ_CP018305.1/CP018305.1",,1,3968,"2016-12-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/895/785/GCA_001895785.1_ASM189578v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/895/785/GCF_001895785.1_ASM189578v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","TBMENG-03","SAMN08973501","PRJNA453104","GCA_003293655.1","Complete",4.35966,65.6,"chromosome:NZ_CP029065.1/CP029065.1",,1,4047,"2018-07-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/293/655/GCA_003293655.1_ASM329365v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/293/655/GCF_003293655.1_ASM329365v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","F1","SAMN03253054","PRJNA270004","GCA_001544675.1","Complete",4.42862,65.6,"chromosome:CP010329.1",,1,4318,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/675/GCA_001544675.1_ASM154467v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/675/GCF_001544675.1_ASM154467v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","2242","SAMN03257092","PRJNA270004","GCA_001544895.1","Complete",4.41984,65.6,"chromosome:CP010335.1",,1,4464,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/895/GCA_001544895.1_ASM154489v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/895/GCF_001544895.1_ASM154489v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","37004","SAMN03257095","PRJNA270004","GCA_001544985.1","Complete",4.41709,65.6,"chromosome:CP010338.1",,1,4229,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/985/GCA_001544985.1_ASM154498v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/985/GCF_001544985.1_ASM154498v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing-like","SAMN03258416","PRJNA269967","GCA_000954155.1","Complete",4.41122,65.6,"chromosome:CP010873.1",,1,3829,"2015-03-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/954/155/GCA_000954155.1_ASM95415v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/155/GCF_000954155.1_ASM95415v1"
"Mycobacterium tuberculosis str. Beijing/NITR203","Bacteria;Terrabacteria group;Actinobacteria","Beijing/NITR203","SAMN02603651","PRJNA193385","GCA_000364825.1","Complete",4.41113,65.6,"chromosome:CP005082.1",,1,4110,"2013-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/825/GCA_000364825.1_ASM36482v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/825/GCF_000364825.1_ASM36482v1"
"Mycobacterium tuberculosis RGTB423","Bacteria;Terrabacteria group;Actinobacteria","RGTB423","SAMN02603737","PRJNA73719","GCA_000277105.1","Complete",4.40659,65.6,"chromosome:CP003234.1",,1,3622,"2012-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/105/GCA_000277105.1_ASM27710v1",
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","2279","SAMN03257093","PRJNA270004","GCA_001544935.1","Complete",4.40503,65.6,"chromosome:CP010336.1",,1,4599,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/935/GCA_001544935.1_ASM154493v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/935/GCF_001544935.1_ASM154493v1"
"Mycobacterium tuberculosis str. Haarlem/NITR202","Bacteria;Terrabacteria group;Actinobacteria","Haarlem/NITR202","SAMN02603650","PRJNA192916","GCA_000389905.1","Complete",4.40479,65.6,"chromosome:CP004886.1",,1,3681,"2013-05-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/905/GCA_000389905.1_ASM38990v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/389/905/GCF_000389905.1_ASM38990v1"
"Mycobacterium tuberculosis","Bacteria;Terrabacteria group;Actinobacteria","Beijing2014PNGD","SAMN07125453","PRJNA386696","GCA_002895185.2","Complete",4.40406,65.6,"chromosome:NZ_CP022704.1/CP022704.2",,1,3696,"2018-01-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/895/185/GCA_002895185.2_ASM289518v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/895/185/GCF_002895185.1_ASM289518v2"
"Mycobacterium tuberculosis CCDC5079","Bacteria;Terrabacteria group;Actinobacteria","CCDC5079","SAMN02603010","PRJNA19585","GCA_000270345.1","Complete",4.39881,65.6,"chromosome:CP001641.1",,1,3647,"2011-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/345/GCA_000270345.1_ASM27034v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/345/GCF_000270345.1_ASM27034v1"
"Mycobacterium tuberculosis CAS/NITR204","Bacteria;Terrabacteria group;Actinobacteria","CAS/NITR204","SAMN02603652","PRJNA193386","GCA_000389925.1","Complete",4.39288,65.6,"chromosome:CP005386.1",,1,3960,"2013-05-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/925/GCA_000389925.1_ASM38992v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/389/925/GCF_000389925.1_ASM38992v1"
"Mycobacterium tuberculosis RGTB327","Bacteria;Terrabacteria group;Actinobacteria","RGTB327","SAMN02603736","PRJNA73717","GCA_000277085.1","Complete",4.38012,65.6,"chromosome:CP003233.1",,1,3691,"2012-03-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/085/GCA_000277085.1_ASM27708v1",
"Mycobacterium tuberculosis variant bovis AF2122/97","Bacteria;Terrabacteria group;Actinobacteria","AF2122/97","SAMEA20450668","PRJEB15187","GCA_000195835.2","Complete",4.3499,65.6,"chromosome Mycobacterium_bovis_AF2122/97:NC_002945.4/LT708304.1",,1,3988,"2001-01-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/835/GCA_000195835.2_ASM19583v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/835/GCF_000195835.2_ASM19583v2"
"Mycobacterium tuberculosis variant bovis BCG","Bacteria;Terrabacteria group;Actinobacteria","3281","SAMN02864173","PRJNA251957","GCA_001043255.1","Complete",4.41043,65.6,"chromosome:NZ_CP008744.1/CP008744.1",,1,4070,"2015-06-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/043/255/GCA_001043255.1_ASM104325v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/255/GCF_001043255.1_ASM104325v1"
"Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P","Bacteria;Terrabacteria group;Actinobacteria","Korea 1168P","SAMN02603488","PRJNA170028","GCA_000338715.2","Complete",4.37671,65.6,"chromosome:NC_020245.2/CP003900.2",,1,3949,"2013-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/715/GCA_000338715.2_ASM33871v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/715/GCF_000338715.2_ASM33871v2"
"Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2","Bacteria;Terrabacteria group;Actinobacteria","BCG Pasteur 1173P2","SAMEA2272684","PRJEA18059","GCA_000009445.1","Complete",4.37452,65.6,"chromosome:NC_008769.1/AM408590.1",,1,3944,"2007-01-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/445/GCA_000009445.1_ASM944v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/445/GCF_000009445.1_ASM944v1"
"Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172","Bacteria;Terrabacteria group;Actinobacteria","Tokyo 172","SAMD00060950","PRJDA31211","GCA_000010685.1","Complete",4.37171,65.6,"chromosome:NC_012207.1/AP010918.1",,1,3941,"2009-03-09T23:12:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/685/GCA_000010685.1_ASM1068v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/685/GCF_000010685.1_ASM1068v1"
